"X.U.FEFF.Palavra_Chave";"Bundle_Id";"Nome_do_aplicativo";"Numero_de_avaliacoes";"Numero_de_estrelas";"Numero_de_instalacoes";"Tamanho.do.aplicativo";"Numero_de_comentarios";"Avaliacoes_sem_comentario";"grupos"
"learn code";"com.japangor.learntocodec";"Learn To Code (C++)";86;3,7;10000;6;30;56;3
"learn code";"miwok.android.example.com.learnc";"C++ Basics Learning : C++ for Beginners";105;4,6;10000;5,1;68;37;3
"learn code";"php.code.play";"PHP Code Play";75;4;10000;4,5;56;19;3
"learn code";"com.codepoint.learnrprogramming";"Learn R Programming Free - R Programming Tutorials";16;4,3;5000;5;10;6;3
"learn code";"com.dztall.ccr.android.admob";"Mobile C [ C/C++ Compiler ]";5965;4,1;500000;78;2654;3311;1
"learn code";"com.continuum.learncss";"Learn CSS Pro - Offline Program Run";80;4,6;5000;4,2;48;32;3
"learn code";"com.JustForYouLimited.LearnJavaScriptOffline";"Learn JavaScript Offline";20;4,8;5000;3,8;12;8;3
"learn code";"com.sololearn.java";"Learn Java";55379;4,6;1000000;6,2;18333;37046;4
"learn code";"com.learning.examples.arduino";"Learn Arduino Coding";9;3,6;1000;8,1;2;7;3
"learn code";"mc.javatutor.offline";"Learn Java Offline";7;4,4;1000;9,3;4;3;3
"learn code";"com.delphiapplications.delphiexamples";"Delphi Examples: Learn to Code";100;4,3;10000;23;51;49;3
"learn code";"com.tutorials.learn.androidexample";"Learn Android With Source Code";342;4,5;50000;7;163;179;3
"learn code";"com.sololearn.python";"Learn Python";76325;4,6;1000000;6,2;25727;50598;4
"learn code";"com.careerkarma.chat";"Career Karma - Learn to Code for Adults";343;4,7;10000;13;237;106;3
"learn code";"com.mrsoftbd.webdesignlearnoffline";"Web Design (Learn Offline)";1811;4,2;100000;3,1;771;1040;3
"learn code";"com.learnswiftprogramming";"Learn Swift Programming - iOS";55;4,5;5000;3,5;20;35;3
"learn code";"com.learnprogramming.codecamp";"Programming Hero: Coding Just Got Fun (beta)";5181;4,9;100000;17;2797;2384;3
"learn code";"com.touchcoderapp.touchcoder";"HTML CSS Live Code Editor & Learning";22;5;500;2,5;4;18;3
"learn code";"com.code.jupiter.nodejs";"Learn NodeJS";28;4,5;1000;4;21;7;3
"learn code";"com.codepoint.learnhtml5";"Learn HTML Programming Free - HTML Tutorials";11;4,2;1000;2,7;6;5;3
"learn code";"org.scratchjr.android";"ScratchJr";6823;3,8;1000000;25;3274;3549;1
"learn code";"com.japangor.learntocode";"Learn To Code (HTML)";525;4;100000;13;225;300;3
"learn code";"net.androidsquad.androidmaster";"Master Android - Learn Android, Java & Flutter";20349;4,6;500000;9,6;7828;12521;1
"learn code";"com.codepoint.learnjavascript";"Learn JavaScript Programming - JavaScript Tutorial";56;4,3;5000;3,5;33;23;3
"learn code";"com.kids.coding.firefighter";"Coding Games - Kids Learn To Code";10;3,7;5000;13;4;6;3
"learn code";"com.codepoint.learnnetworking";"Learn Networking Offline - Networking Tutorials";16;4,8;10000;5,3;8;8;3
"learn code";"com.frizzl.app.frizzleapp";"Frizzl - learn to code while building your own app";14;4,6;500;37;6;8;3
"learn code";"com.illusorytapirus.morsecodelesson";"Morse Code - Tutorial, Training, Tools";107;4;10000;5,7;64;43;3
"learn code";"com.sololearn.php";"Learn PHP";16122;4,5;1000000;6,2;5500;10622;1
"learn code";"com.jaindev.assembly";"Learn Assembly Language Complete Guide (OFFLINE)";29;4;10000;8;8;21;3
"learn code";"io.kodular.ahmedkarundawala245.Learn_HTML";"Learn HTML: Web Design Tutorial";10;4,8;500;6,5;6;4;3
"learn code";"com.yugenchokshi.wil";"WeCode : Learn Coding Anywhere";61;4,6;1000;5,3;26;35;3
"learn programming";"com.educationapps.visualbasicnet";"Visual Basic NET Tutorial - VB .NET Examples";48;4;10000;4,1;24;24;3
"learn programming";"com.app1daily.a1db304";"Learn Swift Programming - Develop iPhone, iPad App";7;3,6;1000;1,7;4;3;3
"learn programming";"sgdevelopers.learn_c_programming";"Learn C Programming";145;4,4;10000;5,8;59;86;3
"learn programming";"com.clanguage.pradip.bitsofcomputer";"C Programming Language - All in One";44;4,4;10000;9,3;22;22;3
"learn programming";"wscubetech.android";"Learn Android Programming-App Development Tutorial";6;4;1000;8;2;4;3
"learn programming";"sgdevelopers.learn_cpp_programming";"Learn C++ Programming";106;4,5;10000;11;56;50;3
"learn programming";"com.becomecoder.mainpdf";"Become Coder-Learn Programming Easily";16;4,6;100;9,7;16;0;3
"learn programming";"com.coderbro.tutorial.arduinoprogrammingduo";"Arduino Programming";136;4;50000;9,7;40;96;3
"learn programming";"com.sukronmoh.bwi.belajarhtml";"Buku Pemrograman (versi baru Belajar HTML)";3890;4,7;100000;12;2091;1799;3
"learn programming";"com.quizmine.csharpandroid";"Learn C# Programming";61;3,5;10000;20;24;37;3
"learn programming";"com.apkzube.learncpp";"Learn C++ Programming - Tutorial";75;4,5;10000;4,6;55;20;3
"learn programming";"learnbook.oaktech";"Computer engineering-LearnBook";441;4,2;50000;3,6;252;189;3
"learn programming";"com.csharp.learn.essentials";"Learn C# - .Net - C Sharp Programming Tutorial App";1281;4,2;100000;8,6;300;981;3
"learn programming";"com.SM_Developer";"Programming Languages";52;4,9;1000;16;41;11;3
"learn programming";"com.csmcqs.asif.dsmcqs";"Programming Languages MCQs";13;4,5;5000;4,4;5;8;3
"learn programming";"learn.apps.javaprogramming";"Learn Java Programming";105;4,4;10000;3,4;51;54;3
"learn programming";"com.programming_with_java.fullmasti";"Java Programming (offline)";15;4,1;5000;12;6;9;3
"learn programming";"com.CoderBro.tutorials.arduinotutorials";"Arduino Tutorials";744;4;100000;9,3;295;449;3
"learn programming";"learn.apps.unixprogramming";"Learn Unix & Shell Programming";100;4,3;50000;3,4;42;58;3
"learn programming";"com.xstudioo.basicc";"Learn Basic C - For Beginners";34;4,7;5000;0,7;11;23;3
"learn programming";"com.coderii.imagetotext";"Programmer Assistant";12;5;100;62;9;3;3
"learn programming";"com.jcharistechn.learnjuliaprogramming";"Learn Julia";18;4,8;1000;5,1;8;10;3
"learn programming";"com.do_apps.catalog_68";"Programming languages";1410;4,1;100000;40;308;1102;3
"learn programming";"learn.apps.pythonprogramming";"Learn Python Programming";68;4,3;10000;3,3;32;36;3
"learn programming";"sambhaji.asp.vb";"Learn .Net Framework";879;4;100000;8,7;270;609;3
"learn programming";"com.practice_o_learn.javaprogramming";"Learn Java Programming";76;4,5;10000;3;52;24;3
"learn programming";"technark.htmlforbegineers";"HTML For Beginners";57;4,8;5000;3,4;25;32;3
"learn programming";"com.futurevisioncomputers.excelvba";"Learn Offline VBA Programming - Tutorials for VBA";75;4,3;10000;6,7;43;32;3
"learn programming";"com.skyapper.learnspring";"Learn Spring Framework - Java";14;4,7;5000;5,3;9;5;3
"learn programming";"technark.bca_courprogramming";"BCA - Course Programming";678;4,4;50000;5,5;330;348;3
"learn programming";"com.duy.pascal.compiler";"Pascal N-IDE - Editor And Compiler - Programming";11322;4,7;500000;6;4731;6591;1
"learn programming";"com.programmarc.cprogrammingbangla";"C Programming Bangla";221;4,1;10000;4,9;92;129;3
"learn programming";"in.intelitech.computerprogramming";"Computer Programming";6;4,3;5000;4,7;3;3;3
"learn programming";"com.nsk.cprogramming";"Learn C Programming";504;4,2;50000;0,9;156;348;3
"learn programming";"in.intelitech.cobol";"Learn - COBOL";8;4,9;1000;4,1;2;6;3
"learn programming";"ab.codelyf";"Codelyf - Learn Programming";250;4,4;10000;5,7;117;133;3
"learn programming";"com.coding.dmr.c";"C Tutorials - Offline";14;4,4;1000;5;9;5;3
"learn programming";"com.sitseducators.cpppatternprogramsfree";"C++ Pattern Programs Free";3373;4,7;100000;7,4;1059;2314;3
"learn programming";"com.tops.learnvern";"Learn IT Courses for Free in Hindi LearnVern";653;4,6;10000;6,5;395;258;3
"learn programming";"com.chavan.oops";"Object Oriented Programming (Oops)";94;4,6;10000;3,8;65;29;3
"learn programming";"com.sitseducators.cpatternprogramsfree";"C Pattern Programs Free";6302;4,7;100000;7,5;2299;4003;3
"learn programming";"com.sololearn.ruby";"Learn Ruby";954;4,7;100000;6,2;324;630;3
"learn programming";"com.continuum.learnhtml";"Learn HTML Pro - Offline Program Run";191;4,3;10000;4,3;108;83;3
"learn programming";"com.soft24hours.dictionaries.dictionary22";"Programming languages";29;4,2;10000;7,2;14;15;3
"learn programming";"c.spotapps.com.learnc";"Learn C Programming Language";14;4,9;100;2;6;8;3
"learn programming";"com.jaindev.c";"Learn C Programming (Examples) (OFFLINE)";45;4,2;10000;3,7;12;33;3
"learn programming";"com.atulindap.gotutorials";"Go tutorial(beginners)";17;4,1;1000;4,3;9;8;3
"learn programming";"com.ben.Tutorial.Learncomputer";"Learn computer courses";14;4,4;10000;5,4;5;9;3
"learn programming";"com.faadooengineers.free_principlesofprogramming";"Programming Principles";65;4;10000;7,7;14;51;3
"learn programming";"com.apkzube.learnrprogramming";"Learn R Programming - Tutorial";87;4,4;10000;5,4;44;43;3
"learn programming";"com.apkzube.learncprogramming";"Learn C Programming";160;3,8;10000;3,7;104;56;3
"learn programming";"com.dexterousdevelopers.cprogrammingtutorials";"C Programming Tutorials";65;4,8;10000;3,9;46;19;3
"learn programming";"learn.c.programing";"Learn C Programming";179;4,5;10000;3,6;69;110;3
"learn programming";"com.codepoint.learnangular";"Learn Angular 8 -  AngularJs Tutorials Offline";862;4,2;10000;6,2;357;505;3
"learn programming";"com.pkj.learncprogramming";"Learn C Programming";42;4,6;1000;2,4;33;9;3
"learn programming";"com.newageproductions.learnc";"Learn C";117;4,4;10000;3,5;49;68;3
"learn programming";"com.awwalsoft.pythondeeplearning";"Python Foundation Learning : Python Tutorials";174;4,1;10000;6,5;108;66;3
"learn programming";"com.cyberloft.pascalprogramming";"Pascal Programming";97;4,4;10000;7,5;49;48;3
"learn programming";"com.hyphenible.tryc";"Learn C Programming: Offline with examples";25;4,6;1000;3;13;12;3
"learn programming";"com.codingpreperation.csinterviewpreperation.programming";"CS & IT Interview Questions";132;4,5;10000;4,2;54;78;3
"learn programming";"com.appzap.learncprogramminginhindi";"Learn C++ Programming In Hindi";82;4,1;10000;37;46;36;3
"programa��o";"org.jw.jwlanguage";"JW Language";89332;4,9;1000000;25;27573;61759;4
"programa��o";"prueba.joseluismerlosguzman.prueba";"Convertidor de algoritmo a c�digo";7;3,3;1000;1,6;3;4;3
"programa��o";"com.ozensoft.arduinoplcladdersim";"Arduino PLC - Ladder Simulator";254;4,1;100000;2,8;118;136;3
"programa��o";"com.do_apps.catalog_285";"Algorithms";374;4;50000;25;94;280;3
"programa��o";"oop.cite.pc_admin.trial_3navbar";"OOP for Beginners";16;4,2;5000;8,1;10;6;3
"programa��o";"com.buta.caculator";"HiEdu Scientific Calculator : Fx-570vn Plus";31930;4,6;1000000;6,1;16224;15706;1
"programa��o";"com.appsenrique.pnlconpoder";"PNL con Poder";228;4,6;10000;13;177;51;3
"programa��o";"com.educationapps.cncprogrammingexamples";"CNC Programming Example";170;4,4;10000;7,5;90;80;3
"programa��o";"my.book.ua.AOUVWFQPJIIAFRHOFO";"Manipulation and control";415;3,5;100000;5,5;57;358;3
"programa��o";"com.myprg.aakash.ardunioprogramming";"Arduino Programming";100;4,1;10000;4,7;40;60;3
"programa��o";"com.krazeapps.basicprogrammingcompiler";"BASIC Programming Compiler";14;2,8;1000;6,5;12;2;3
"programa��o";"everyneedz.com.webdevelopment";"Web Development (HTML,CSS,JS)";1461;4,1;100000;15;644;817;3
"programa��o";"com.swastik.operationalresearch";"Operational Research";153;4,5;10000;3,2;65;88;3
"programa��o";"com.raincontinues.simplc2";"PLC Ladder Logic Simulator";77;4,2;10000;2,1;48;29;3
"programa��o";"com.myapp.designpatternscs";"Design Patterns in C#";283;4,8;10000;4,2;115;168;3
"programa��o";"com.C_Examples.C_Programming";"350+ C Programming Examples";52;4,5;10000;5,4;16;36;3
"programa��o";"com.apps21.reparaciondecelulares";"Cellular Repair Course";2222;4,2;100000;3,7;611;1611;3
"programa��o";"com.admob9931.python_panda";"Python Pandas Tutorial";27;4,5;10000;3,7;15;12;3
"programa��o";"com.zdivdev.ebook.lua";"Lua 5.3 Language Reference";64;4,2;10000;1,9;30;34;3
"programming";"in.softecks.ruby";"Ruby Programming";10;4,5;1000;7,4;5;5;3
"programming";"com.coderbro.tutorial.a8051microcontroller";"8051 Microcontroller Programming";17;4,3;5000;4,3;7;10;3
"programming";"com.jids.lspexample";"Linux System Programming Eg";181;4,5;10000;1,9;46;135;3
"programming";"com.CodeHub.competitivecoding";"CodeHub - First Competitive Programming App";37;4,4;1000;2,9;23;14;3
"programming";"com.awwalsoft.javawebprogramming";"Jsp & Servlet Tutorial:  Java Web Programming";160;4,4;10000;5,1;82;78;3
"programming";"com.cprogrammingzone.free";"C Programming Zone";1279;4,6;50000;4;542;737;3
"programming";"io.kodular.rijukeyshonsrijan.dp";"Dynamic Programming Problems - Competitive Coding";6;4,3;500;5,8;4;2;3
"programming";"com.codebuff";"Code Buff : Programmer's calendar, Coding contests";14;4,8;1000;1,8;10;4;3
"programming";"com.tech.prabhansh.programminginc";"Programming in C";69;4,7;1000;4,1;31;38;3
"programming";"com.krazeapps.cppprogrammingcompiler";"C/C++ Programming Compiler";26;2,8;10000;6,5;16;10;3
"programming";"net.andromo.dev653868.app655379";"Matlab Programming : Numerical Analysis";32;4,6;5000;6,2;14;18;3
"programming";"com.studytonight.app";"Studytonight - Free Computer Programming Tutorials";1411;4,6;50000;4,5;630;781;3
"programming";"in.intelitech.lispprogramming";"LISP Programming";5;3,4;1000;3,5;3;2;3
"programming";"com.lego.education.ev3";"LEGO� MINDSTORMS Education EV3";536;3,9;50000;58;226;310;3
"programming";"cplusplus.programming";"Learn C++ Programming";7;4;1000;3,7;2;5;3
"programming";"in.edu.pd";"Programmer's Dictionary";1070;3,8;100000;1,2;247;823;3
"programming";"info.ytc.cprograms";"Programming Zone";49;4,8;10000;19;23;26;3
"programming";"com.shashank.sony.cppprogrammingbyshashank";"C++ Tutorial & Programming";128;4,3;10000;2,4;72;56;3
"programming";"in.softecks.cplusplus";"C++ Programming";6;4,2;1000;7,7;3;3;3
"programming";"mum.mum.java_test";"Programming Test";30;4,5;1000;2,1;8;22;3
"programming";"project.com.clanguage";"C Programming Quiz";22;4,3;5000;4,5;11;11;3
"programming";"com.pratipalgif.LearnC";"C Programming Notes & Programs";8;3,2;1000;6;4;4;3
"programming";"com.wITandProgrammingandComputerScienceFreeBooks_7782437";"IT, Programming & Computer science Free Books";17;4,2;5000;89;12;5;3
"programming";"com.casatechno.www.TestYourProgrammingSkills";"Test Your Programming Skills";35;4,7;1000;3,7;24;11;3
"programming";"motivationquotes.daily.com.pdfdownload";"Programming Coding eBooks";12;4,2;1000;4,7;10;2;3
"programming";"com.velosys.interview_preparation";"Programming MCQ";314;3,8;50000;1,8;41;273;3
"programming";"app.kasper.tutorials";"C C++ Tutorials";24;4,5;5000;5,2;13;11;3
"programming";"vsapps.computerprogram";"Computer Programming";20;4,3;5000;2,6;12;8;3
"programming";"com.infoland.oops";"Object Oriented Programming";17;3,7;5000;22;5;12;3
"programming";"com.something.harifbi175.myapplication";"Java Programming";103;4,9;1000;2,4;69;34;3
"programming";"labprograms.abin.programmingexercises";"Programming Exercises";51;4,7;10000;26;18;33;3
"programming";"com.ummaysoft.arduinoprogrammingnotebook";"Arduino Programming Notebook";6;3,3;1000;12;1;5;3
"programming";"inventionsbyhamid.javaprograms";"Java Programming";142;4,1;10000;2;49;93;3
"programming";"com.thenewday.programmingcalendar.tpc";"Programming Calendar";60;4,8;1000;4,2;20;40;3
"programming";"com.easy.hp.ctutorial";"C Programming App";1119;4,5;50000;5;585;534;3
"programming";"com.superdream.rprogramming";"R-Programming";26;4,2;10000;2,3;15;11;3
"programming";"learn.html.programming";"Learn HTML Programming";35;4,1;10000;2;20;15;3
"programming";"com.codeintelligent.onlinecompiler";"Online Compiler | Programming Languages";38;4,2;1000;6,1;32;6;3
"programming";"com.spyboy.cplusplusprogramming";"C++ Programming";59;4,4;10000;3,3;27;32;3
"programming";"in.softecks.perl";"Perl Programming";10;4,6;1000;7,5;8;2;3
"programming";"in.learncodeonline.cpplangquestion";"C++ programming Interview questions";5;5;1000;1,7;1;4;3
"programming";"in.softecks.javascript";"JavaScript Programming";21;4,4;5000;9,3;8;13;3
"programming";"com.snj.cprogramming";"C Programming";2150;4,6;100000;2,9;652;1498;3
"programming";"io.kodular.rohansrivastava2520.coding_ebooks";"Coding eBooks : All Free Programming Books";10;4,1;500;6,9;7;3;3
"programming";"com.krazeapps.csharpprogrammingcompiler";"C# Programming Compiler";27;3,2;10000;6,7;19;8;3
"programming";"com.java.questionwithanswerinterview.android";"1000 Java Programming";433;4;100000;7,5;258;175;3
"programming";"com.appboss.CProgrammingConcepts";"C Programming Concepts";13;4,5;5000;3,6;5;8;3
"programming";"in.softecks.python";"Learn - Python Programming";20;4;5000;7,5;10;10;3
"programming";"com.rahultamkhane.javaprogramming";"Java Programming";47;4,4;5000;9,5;20;27;3
"programming";"com.programmingzemi";"PROGRAMMING ZEMI<U+3010>A programming educational app<U+3011>";96;3,9;50000;100;48;48;3
"programming";"com.educationapps.cncguide";"CNC Programming Guide";27;4,1;5000;12;16;11;3
"programming";"com.vijay.aiodeveloper";"Programming Kit";226;4,3;10000;7;103;123;3
"programming";"in.softecks.fortran";"Fortran Programming";21;4,2;10000;7,6;3;18;3
"programming";"com.quizmine.comboCandCplus";"Learn C and C++ Programming";67;4,1;10000;15;9;58;3
"programming";"com.lohriialo.swift";"Swift Programming - 4.0 (Reference/Manual/Guide)";171;3,7;10000;3,6;33;138;3
